City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sitka,US,1601340918,57.05,-135.33,13.0,71,75,3.6
1,Chapayevka,UA,1601340919,47.47,36.35,16.72,55,100,6.55
2,Saint Paul Harbor,US,1601340919,57.79,-152.41,13.0,50,1,5.7
3,Bluff,NZ,1601340919,-46.6,168.33,3.89,69,99,8.94
4,Vaini,TO,1601340919,-21.2,-175.2,26.0,78,75,4.1
5,Isiolo,KE,1601340920,0.35,37.58,19.69,71,18,2.63
6,Klaksvík,FO,1601340920,62.23,-6.59,9.0,93,0,4.1
7,Haines Junction,CA,1601340920,60.75,-137.51,5.77,71,0,5.1
8,Burnie,AU,1601340920,-41.07,145.92,11.67,73,100,4.02
9,Vao,NC,1601340920,-22.67,167.48,19.97,80,100,9.06
10,Jamestown,US,1601340921,42.1,-79.24,21.67,64,20,4.6
11,Novikovo,RU,1601340921,51.15,37.89,12.58,41,100,5.03
12,Traverse City,US,1601340921,44.76,-85.62,14.0,87,75,2.1
13,Khatanga,RU,1601340921,71.97,102.5,-1.42,96,100,5.16
14,Saint-Philippe,RE,1601340922,-21.36,55.77,21.0,73,35,3.1
15,Banda Aceh,ID,1601340922,5.56,95.32,27.26,71,100,3.26
16,Rikitea,PF,1601340922,-23.12,-134.97,21.98,89,100,8.88
17,Hilo,US,1601340922,19.73,-155.09,29.0,66,1,5.1
18,Ushuaia,AR,1601340923,-54.8,-68.3,0.0,92,20,4.6
19,Tieling,CN,1601340923,42.29,123.84,13.32,63,100,3.92
20,Riberalta,BO,1601340923,-10.98,-66.1,23.52,90,100,2.01
21,Igurusi,TZ,1601340924,-8.85,33.85,16.59,77,97,0.7
22,Severo-Kuril'sk,RU,1601340924,50.68,156.12,10.33,84,99,2.96
23,Kaeo,NZ,1601340924,-35.1,173.78,17.78,64,68,4.02
24,Olafsvik,IS,1601340924,64.89,-23.71,2.75,84,99,7.13
25,Egvekinot,RU,1601340924,66.32,-179.17,2.24,75,0,0.6
26,Qui Nhon,VN,1601340880,13.77,109.23,27.87,72,100,2.86
27,Vila Franca do Campo,PT,1601340925,37.72,-25.43,20.0,88,40,4.6
28,Grand Gaube,MU,1601340925,-20.01,57.66,22.78,77,100,3.13
29,Manta,EC,1601340925,-0.95,-80.73,24.0,73,20,5.1
30,New Norfolk,AU,1601340736,-42.78,147.06,15.0,58,0,0.89
31,Atuona,PF,1601340926,-9.8,-139.03,25.61,73,0,6.0
32,Busselton,AU,1601340926,-33.65,115.33,15.56,92,96,0.89
33,Tuktoyaktuk,CA,1601340927,69.45,-133.04,2.0,93,90,3.6
34,Lavrentiya,RU,1601340927,65.58,-171.0,2.71,76,96,0.46
35,Oktyabr'skiy,RU,1601340927,54.48,53.47,8.01,79,0,0.65
36,La Asuncion,VE,1601340927,11.03,-63.86,27.0,94,100,4.6
37,Sargatskoye,RU,1601340928,55.61,73.5,3.52,85,0,5.98
38,Mbuji-Mayi,CD,1601340928,-6.15,23.6,21.45,91,100,1.63
39,Korsakov,RU,1601340929,46.63,142.78,20.0,68,40,7.0
40,Zwedru,LR,1601340929,6.07,-8.13,22.02,98,100,0.65
41,Mataura,NZ,1601340929,-46.19,168.86,3.89,69,100,8.94
42,Bethel,US,1601340929,41.37,-73.41,19.44,96,0,2.55
43,Albany,US,1601340930,42.6,-73.97,22.78,84,0,3.35
44,Yulara,AU,1601340930,-25.24,130.99,23.0,64,0,3.1
45,Port Elizabeth,ZA,1601340930,-33.92,25.57,13.0,66,21,6.7
46,Talnakh,RU,1601340931,69.49,88.4,-1.0,100,90,4.0
47,Bahir Dar,ET,1601340931,11.59,37.39,15.08,84,4,1.5
48,Saldanha,ZA,1601340931,-33.01,17.94,7.0,81,0,1.0
49,Tuatapere,NZ,1601340931,-46.13,167.68,3.89,69,71,8.94
50,Tura,IN,1601340932,25.52,90.22,24.14,92,0,1.19
51,General Escobedo,MX,1601340932,25.82,-100.33,22.0,53,75,6.2
52,Bredasdorp,ZA,1601340932,-34.53,20.04,11.0,76,68,2.6
53,Luanda,AO,1601340932,-8.84,13.23,22.0,94,20,3.6
54,Kaitangata,NZ,1601340933,-46.28,169.85,1.11,85,100,3.58
55,Kungurtug,RU,1601340933,50.6,97.52,2.34,71,21,0.1
56,Tocopilla,CL,1601340933,-22.09,-70.2,16.25,61,2,1.33
57,Punta Arenas,CL,1601340933,-53.15,-70.92,1.0,55,20,3.6
58,Cabo San Lucas,MX,1601340934,22.89,-109.91,32.0,43,5,1.5
59,Broome,US,1601340934,42.25,-75.83,21.67,73,75,4.6
60,Mbale,UG,1601340934,1.08,34.17,18.5,77,60,0.55
61,Sunagawa,JP,1601340934,43.49,141.91,17.22,67,20,4.6
62,Sioux Lookout,CA,1601340934,50.1,-91.92,10.0,93,90,5.7
63,Adelaide,AU,1601340824,-34.93,138.6,20.0,28,100,7.7
